"pan_number","status"
"AUE4227","Invalid PAN"
"HIBGF0767C","Valid PAN"
"KLVUD5357F","Valid PAN"
"ODIFG6887G","Invalid PAN"
"DCWHF6017H","Valid PAN"
"MLINU021!D","Invalid PAN"
"CNPEA09718Y","Invalid PAN"
"VLUHP6252Q","Valid PAN"
"PVCKF5437T","Valid PAN"
"DUKWR4119X","Invalid PAN"
"SWLIO2957O","Valid PAN"
"DLHOF2746Q","Valid PAN"
"OMA2101","Invalid PAN"
"VNLQA13113D","Invalid PAN"
"YKLXO9841W","Valid PAN"
"XQAPX1875B","Valid PAN"
"CJZPL4956R","Valid PAN"
"HNDFX63763L","Invalid PAN"
"MQLBI3756T","Valid PAN"
"ESVJO8549C","Valid PAN"
"MFFMZ30159D","Invalid PAN"
"GJRG94249I","Invalid PAN"
"ZBLVK3086W","Valid PAN"
"NVO9210","Invalid PAN"
"SBMBK62642K","Invalid PAN"
"GYTPK2563I","Valid PAN"
"JKLMF2169H","Valid PAN"
"OIOWQ4648O","Valid PAN"
"FDQKW9770N","Invalid PAN"
"DPU9480","Invalid PAN"
"YLJTS579!M","Invalid PAN"
"RRKAZ8176M","Invalid PAN"
"YLYDX783!A","Invalid PAN"
"HGNRP21971X","Invalid PAN"
"LGJOK0827J","Valid PAN"
"WTDBK597!B","Invalid PAN"
"CKX6176","Invalid PAN"
"LOABB3948W","Invalid PAN"
"BANLD18216F","Invalid PAN"
"VVOTW888!J","Invalid PAN"
"VRRZH2775B","Invalid PAN"
"TUGND854!W","Invalid PAN"
"WBZQE2888U","Invalid PAN"
"ANZ5622","Invalid PAN"
"UVKTW8544G","Invalid PAN"
"LYQOM0907B","Valid PAN"
"OTFTG69739H","Invalid PAN"
"PBYWJ0186T","Valid PAN"
"UGOSL3501I","Valid PAN"
"RVVMT958!I","Invalid PAN"
"WJSCK5559V","Invalid PAN"
"AQNG48227L","Invalid PAN"
"BGZMY453!X","Invalid PAN"
"NXGUE29401V","Invalid PAN"
"KIOFW84427I","Invalid PAN"
"CKYPN97334V","Invalid PAN"
"ZRJHA664!E","Invalid PAN"
"VHNAI281!P","Invalid PAN"
"OQLIG2792M","Valid PAN"
"DXXSQ4034U","Invalid PAN"
"KOTQR5000O","Invalid PAN"
"DTDPO4031M","Valid PAN"
"TRBVH4587K","Valid PAN"
"ZLNXR82133O","Invalid PAN"
"CDDHN7078M","Invalid PAN"
"IRUPO5870R","Valid PAN"
"RZF1821","Invalid PAN"
"KSEQR7726G","Invalid PAN"
"TRSGB586!P","Invalid PAN"
"CAWDN35105L","Invalid PAN"
"IRDYG6558E","Invalid PAN"
"DLJCH2292A","Invalid PAN"
"DURQX0301W","Valid PAN"
"BUSBH3793G","Valid PAN"
"KRFHE8519V","Valid PAN"
"YST6104","Invalid PAN"
"GNXF19761Q","Invalid PAN"
"JHCYO7737L","Invalid PAN"
"TUV8486","Invalid PAN"
"CEETP8856W","Invalid PAN"
"UZNXD9237V","Valid PAN"
"XBG0905","Invalid PAN"
"KBUGP2421P","Valid PAN"
"INQ6841","Invalid PAN"
"UXPVF7904X","Valid PAN"
"UKTIX0019X","Invalid PAN"
"KIEKZ846!A","Invalid PAN"
"EJIFL65667Y","Invalid PAN"
"FEUBF14381D","Invalid PAN"
"QYPTL347!P","Invalid PAN"
"XVPZ63735W","Invalid PAN"
"OMWVH8787D","Valid PAN"
"KKZZX5374K","Invalid PAN"
"GGXRE051!J","Invalid PAN"
"ZEB4338","Invalid PAN"
"WADL11016P","Invalid PAN"
"ZGOQA4513P","Valid PAN"
"UUNNR7213W","Invalid PAN"
"HLV1865","Invalid PAN"
"MGJLY9855S","Invalid PAN"
"MQCYG637!A","Invalid PAN"
"XYMCY7158P","Valid PAN"
"HDRGC0556G","Invalid PAN"
"OIUZN825!L","Invalid PAN"
"VPNTW7667U","Invalid PAN"
"UUFRW147!O","Invalid PAN"
"AADA18129X","Invalid PAN"
"CMFFF75090U","Invalid PAN"
"SHBGH33072F","Invalid PAN"
"DFEZM7176O","Valid PAN"
"BPRKC885!T","Invalid PAN"
"EOLBO3741Q","Valid PAN"
"COPKF6487Z","Valid PAN"
"UVZEX2015Q","Valid PAN"
"RCCFL7039N","Invalid PAN"
"MKSSD56426P","Invalid PAN"
"BHO0193","Invalid PAN"
"NRZIE8757R","Valid PAN"
"VPTVM0065G","Invalid PAN"
"TVAPU6349Y","Valid PAN"
"UEJP16235M","Invalid PAN"
"ARMEJ47480X","Invalid PAN"
"ELXHR0174X","Valid PAN"
"AQDL22761A","Invalid PAN"
"KMVUH082!T","Invalid PAN"
"SWOEC5999I","Invalid PAN"
"KTTI89897S","Invalid PAN"
"CXYQC1719Q","Valid PAN"
"UPMZG9931X","Invalid PAN"
"UXFUX4617Z","Valid PAN"
"OMANY6747L","Valid PAN"
"KYEX90148P","Invalid PAN"
"QVMYD07635P","Invalid PAN"
"SOLQB3942H","Valid PAN"
"QGYYZ1458D","Invalid PAN"
"RZGPU012!N","Invalid PAN"
"XMXKQ3683B","Valid PAN"
"XSPXY288!Q","Invalid PAN"
"FXKZB2755H","Invalid PAN"
"ABTCD3461G","Valid PAN"
"UOSBB8639P","Invalid PAN"
"QAKLK7152Y","Valid PAN"
"YGUF60616W","Invalid PAN"
"GIMN76287D","Invalid PAN"
"ABWHK5165D","Valid PAN"
"GWSOV5474R","Valid PAN"
"FHNYS8198Y","Valid PAN"
"BFJFH7655B","Invalid PAN"
"AQTYZ4795U","Valid PAN"
"PBPPG8725R","Invalid PAN"
"GRTLG6475B","Valid PAN"
"NMGPV2168B","Valid PAN"
"EMQZE3627D","Valid PAN"
"PIKXC1368E","Valid PAN"
"CKWFZ3216B","Valid PAN"
"BIGWB2703G","Valid PAN"
"QZXGW0191A","Valid PAN"
"WVGUK9074F","Valid PAN"
"UVMRP3520W","Valid PAN"
"ZZGKY1696L","Invalid PAN"
"FEKNC4449K","Invalid PAN"
"YZXLA8947L","Valid PAN"
"SNANE0176S","Valid PAN"
"HJTOL209!G","Invalid PAN"
"CJBMY8607O","Valid PAN"
"HZLDO5728J","Valid PAN"
"OUFP60934R","Invalid PAN"
"VJUXD4579Q","Valid PAN"
"BBXKE6895H","Invalid PAN"
"JFUR96515S","Invalid PAN"
"MABYY0895Z","Invalid PAN"
"UKFYB3204V","Valid PAN"
"JVMAQ6764F","Valid PAN"
"KHB9788","Invalid PAN"
"FZYEP0089L","Invalid PAN"
"FTJHB544!N","Invalid PAN"
"BSYPJ19365F","Invalid PAN"
"CIBVC3520J","Valid PAN"
"DGKGU130!W","Invalid PAN"
"OBTKN2100Y","Invalid PAN"
"YWIBO8324M","Valid PAN"
"WTNVY5233W","Invalid PAN"
"RTQJE13128L","Invalid PAN"
"DQLLA6586Y","Invalid PAN"
"YPVCY10832C","Invalid PAN"
"IBUHY0150F","Valid PAN"
"NFMVB9465Y","Valid PAN"
"IALAN5448N","Invalid PAN"
"NKPKM7852M","Valid PAN"
"FKVD56456L","Invalid PAN"
"KHE1733","Invalid PAN"
"UEQLE8608M","Valid PAN"
"VSYTY164!A","Invalid PAN"
"LGZ2416","Invalid PAN"
"XOVOV6564N","Valid PAN"
"LJIKS2956T","Valid PAN"
"OJGSV5528N","Invalid PAN"
"ZILDV53371N","Invalid PAN"
"DOABS0463S","Valid PAN"
"KIDZU6509W","Valid PAN"
"JXUDX6480D","Valid PAN"
"TIY7470","Invalid PAN"
"COBAR56767G","Invalid PAN"
"UGBYZ0764D","Valid PAN"
"XXTUW4225S","Invalid PAN"
"HJFM11029P","Invalid PAN"
"QITVR8868Z","Invalid PAN"
"WCOUC5068J","Valid PAN"
"FHSPK3607U","Valid PAN"
"KYK4020","Invalid PAN"
"FGVBX43213P","Invalid PAN"
"SXFIG2127P","Valid PAN"
"LYJOK4769J","Valid PAN"
"EFZBW498!U","Invalid PAN"
"LZAGV9142O","Valid PAN"
"UGQS66161U","Invalid PAN"
"TVMYA6923K","Valid PAN"
"IVJAN8405B","Valid PAN"
"JCRRH246!V","Invalid PAN"
"NDOZR7537U","Valid PAN"
"IESVX500!K","Invalid PAN"
"SGQBP4285W","Valid PAN"
"NAGF37083D","Invalid PAN"
"XVRQ29204Z","Invalid PAN"
"SID0447","Invalid PAN"
"NMKAV34719N","Invalid PAN"
"HFURD5741I","Valid PAN"
"YAJ3943","Invalid PAN"
"XCZHC9933Q","Invalid PAN"
"JOHOD20609O","Invalid PAN"
"VSQX00529U","Invalid PAN"
"NNXKJ3514A","Invalid PAN"
"RNFY36091H","Invalid PAN"
"VSHRM5660O","Invalid PAN"
"IXSUL76372U","Invalid PAN"
"NIIKU6314P","Invalid PAN"
"RDC0381","Invalid PAN"
"BELBU22086L","Invalid PAN"
"XJCXS4447K","Invalid PAN"
"BTCVI9133Q","Invalid PAN"
"NXTYM0207E","Valid PAN"
"DRSIY5582S","Invalid PAN"
"NSTAT1690V","Valid PAN"
"YOXXH282!P","Invalid PAN"
"ACHWA5569N","Invalid PAN"
"POOY45899I","Invalid PAN"
"ZXJR12187I","Invalid PAN"
"KPOLY96292Z","Invalid PAN"
"MBL0018","Invalid PAN"
"LIXYT3381Y","Invalid PAN"
"CVFFP07709C","Invalid PAN"
"PVVPS2604W","Invalid PAN"
"NQEAJ9273I","Valid PAN"
"JKOMJ2764G","Valid PAN"
"KHQDL2088V","Invalid PAN"
"ETOCI1313W","Valid PAN"
"UAKPX3608S","Valid PAN"
"QUVAD7651Q","Valid PAN"
"HEDAP34581S","Invalid PAN"
"QIJED586!F","Invalid PAN"
"CWIP24541K","Invalid PAN"
"KIWGH380!Z","Invalid PAN"
"GXQSK509!W","Invalid PAN"
"HZFPS4626S","Valid PAN"
"AWJBE2367N","Valid PAN"
"IDL8559","Invalid PAN"
"YTSLK9943M","Invalid PAN"
"GMKKF3927P","Invalid PAN"
"PRZID2689E","Valid PAN"
"BCYY72799G","Invalid PAN"
"TFE7644","Invalid PAN"
"LASFS38470D","Invalid PAN"
"KCMRS05772Q","Invalid PAN"
"URSJE2892E","Valid PAN"
"YFYBI2283K","Invalid PAN"
"UZRZE082!O","Invalid PAN"
"PTIM39775D","Invalid PAN"
"JVAGX2077L","Invalid PAN"
"UGYRX914!E","Invalid PAN"
"NKBWJ173!D","Invalid PAN"
"RUASP8716F","Valid PAN"
"CRVFD6540R","Valid PAN"
"TKLU55645P","Invalid PAN"
"JELJK6822S","Invalid PAN"
"HIKQ09524Q","Invalid PAN"
"RZDPB968!Q","Invalid PAN"
"ARKM56405K","Invalid PAN"
"MRDYW080!W","Invalid PAN"
"ESLO35420R","Invalid PAN"
"AZXEP0224B","Invalid PAN"
"RUEMG0695A","Valid PAN"
"DUQ0604","Invalid PAN"
"UWAMC84972N","Invalid PAN"
"YPUTB0590D","Valid PAN"
"OHCMR6271D","Valid PAN"
"RAQ9742","Invalid PAN"
"KLEDD8242W","Invalid PAN"
"PJVFA69642F","Invalid PAN"
"LZBLE221!L","Invalid PAN"
"XMSZA440!G","Invalid PAN"
"LOHB75567G","Invalid PAN"
"PQZ4289","Invalid PAN"
"CPQCQ4145Y","Valid PAN"
"MGDVT7222L","Invalid PAN"
"ZAEOL6466X","Invalid PAN"
"TPBLM6983M","Valid PAN"
"PXLEA2799Y","Invalid PAN"
"UBPMV0790O","Valid PAN"
"GNVTX7640Z","Valid PAN"
"IFKI71724B","Invalid PAN"
"IOMOP2966U","Invalid PAN"
"QWJF83986I","Invalid PAN"
"ZZO9613","Invalid PAN"
"HDIMC4590O","Valid PAN"
"TNZSX30393S","Invalid PAN"
"CJPQX8092D","Valid PAN"
"IROI69529P","Invalid PAN"
"PXSPF9951I","Invalid PAN"
"WRJSG8720V","Valid PAN"
"UWLU28661K","Invalid PAN"
"DTDQH5604C","Valid PAN"
"KLK0404","Invalid PAN"
"XISFB2410O","Valid PAN"
"CCPJY9307W","Invalid PAN"
"ZADXL7650G","Valid PAN"
"ETHKC3594R","Valid PAN"
"KBDSJ6008F","Invalid PAN"
"VMKNT8110R","Invalid PAN"
"NKX7347","Invalid PAN"
"UESYO2959X","Valid PAN"
"QGHF94963Q","Invalid PAN"
"LWBPG8263V","Valid PAN"
"SUKCU6446F","Invalid PAN"
"MZBRY70381A","Invalid PAN"
"PTBSF6864G","Valid PAN"
"XRPHT6186E","Valid PAN"
"IJTIG53302Q","Invalid PAN"
"NKIRY0260Y","Valid PAN"
"BLJ3028","Invalid PAN"
"DEJIR46092M","Invalid PAN"
"BCCEK6736E","Invalid PAN"
"IIKXB5030B","Invalid PAN"
"KHVBE37380U","Invalid PAN"
"PFUSN1506P","Valid PAN"
"AKXYX20312B","Invalid PAN"
"OSBVZ4155T","Invalid PAN"
"KRLLQ8284L","Invalid PAN"
"XSXZW6934Y","Valid PAN"
"AZBDZ738!S","Invalid PAN"
"ZIFI13118B","Invalid PAN"
"PMMM30424U","Invalid PAN"
"GZGYD0280T","Valid PAN"
"CYLRG7201R","Valid PAN"
"PBVOB7981A","Valid PAN"
"YPKQS6028F","Valid PAN"
"JDUCC385!E","Invalid PAN"
"XOVRA09271W","Invalid PAN"
"LBRPI7424W","Valid PAN"
"OWSBU09100L","Invalid PAN"
"SLEMQ256!H","Invalid PAN"
"RMXPF9730J","Valid PAN"
"HCAKJ9239T","Valid PAN"
"HJOLG61274Z","Invalid PAN"
"GYYU57210G","Invalid PAN"
"NGD0289","Invalid PAN"
"ESRCI866!R","Invalid PAN"
"OKI6304","Invalid PAN"
"PJQBA0591R","Valid PAN"
"XFZMC0139G","Valid PAN"
"BEHKV34071O","Invalid PAN"
"DDAOC29599L","Invalid PAN"
"TJHT12569Y","Invalid PAN"
"UPH7799","Invalid PAN"
"COXRX2732U","Valid PAN"
"PQCWZ4441I","Invalid PAN"
"ZHNV63477A","Invalid PAN"
"YZHDJ4736A","Valid PAN"
"QUKBS3763G","Valid PAN"
"VXGHH8537L","Invalid PAN"
"PWMKD276!V","Invalid PAN"
"HWLNP2072B","Valid PAN"
"QPTW41183O","Invalid PAN"
"ACBHH444!V","Invalid PAN"
"WMOOL846!Q","Invalid PAN"
"MJQQC7279G","Invalid PAN"
"YKWR26663U","Invalid PAN"
"HQZJA0041S","Invalid PAN"
"ZXFU22267K","Invalid PAN"
"IFGDO0090Q","Invalid PAN"
"WCHVE0747H","Valid PAN"
"ADH5159","Invalid PAN"
"VBAZA7233S","Invalid PAN"
"EYZJH80800B","Invalid PAN"
"YLFFM0009V","Invalid PAN"
"JPIOP15405P","Invalid PAN"
"SFZYT2736C","Valid PAN"
"OLXB18571J","Invalid PAN"
"COBUT0360Q","Valid PAN"
"LOSQF8433C","Invalid PAN"
"EIVHQ8605L","Valid PAN"
"DOPOW0307X","Valid PAN"
"APGVB13849E","Invalid PAN"
"ANB4865","Invalid PAN"
"OJAIU2202T","Invalid PAN"
"VAPPH0283Z","Invalid PAN"
"IGFV76508G","Invalid PAN"
"HGPFD9212H","Valid PAN"
"QYR0745","Invalid PAN"
"ZFGXZ361!D","Invalid PAN"
"FECJT292!N","Invalid PAN"
"UXIVO3443S","Invalid PAN"
"IGEZZ13731B","Invalid PAN"
"NUMB71612Z","Invalid PAN"
"HVOFE5635Y","Valid PAN"
"ZGG3984","Invalid PAN"
"OHHHX9723G","Invalid PAN"
"WVHHU0476E","Invalid PAN"
"BPIWG1815Z","Valid PAN"
"DCHII3945C","Invalid PAN"
"IZPB43098P","Invalid PAN"
"ILWOL7833A","Invalid PAN"
"ANILP2083Y","Valid PAN"
"WTTCC017!Q","Invalid PAN"
"JJAHA35367F","Invalid PAN"
"VYGUQ8075D","Valid PAN"
"VFFLO5176D","Invalid PAN"
"YSMWY7373G","Valid PAN"
"ETQDP4627B","Valid PAN"
"BRRX73797A","Invalid PAN"
"DPL0821","Invalid PAN"
"XYVZQ2736U","Valid PAN"
"EENLM2211S","Invalid PAN"
"JPJRZ629!K","Invalid PAN"
"IJLZJ1681V","Valid PAN"
"ZTLR78134T","Invalid PAN"
"YPWFT608!Z","Invalid PAN"
"XAG7185","Invalid PAN"
"QOAOS4383M","Valid PAN"
"KBYAR1407R","Valid PAN"
"GVSPC38153G","Invalid PAN"
"IYLCL75968G","Invalid PAN"
"OQTVF0003T","Invalid PAN"
"XWZJ62682Y","Invalid PAN"
"VPSNM01946H","Invalid PAN"
"GTY3711","Invalid PAN"
"YXG9871","Invalid PAN"
"YVNKS09360T","Invalid PAN"
"WSC1311","Invalid PAN"
"CQXWP6498Y","Valid PAN"
"JFDYJ177!I","Invalid PAN"
"OQQYG4591L","Invalid PAN"
"IVR1676","Invalid PAN"
"LWVKE951!H","Invalid PAN"
"MEF3504","Invalid PAN"
"CDNCW2865R","Valid PAN"
"KBCDI5008S","Invalid PAN"
"BXIBJ98265F","Invalid PAN"
"AAKSW7651M","Invalid PAN"
"LWBMQ9426P","Valid PAN"
"YKMWM68562V","Invalid PAN"
"YTD5959","Invalid PAN"
"SVRCY41201J","Invalid PAN"
"FKCMG2910U","Valid PAN"
"QNYMH2615C","Valid PAN"
"UFR8895","Invalid PAN"
"QKYUE0142X","Valid PAN"
"EXJOH9548Q","Valid PAN"
"XEHCB6841O","Valid PAN"
"IWMSU284!N","Invalid PAN"
"ZBIHC2537M","Valid PAN"
"FCEHU5153V","Valid PAN"
"AZCBW6406U","Valid PAN"
"SZISQ0627Y","Valid PAN"
"KRCR72976K","Invalid PAN"
"ZDE6781","Invalid PAN"
"EDXPW1706O","Valid PAN"
"CJNMF79060S","Invalid PAN"
"DNIBM3659I","Valid PAN"
"TEEZH163!J","Invalid PAN"
"FXYM42630O","Invalid PAN"
"GPKVJ4668B","Invalid PAN"
"YWLOD78167E","Invalid PAN"
"WFG7931","Invalid PAN"
"YPDOU5032I","Valid PAN"
"XBWJC5652S","Valid PAN"
"FGT3816","Invalid PAN"
"PHRLW6183B","Valid PAN"
"GNMWU985!S","Invalid PAN"
"HMBN65904T","Invalid PAN"
"IZDDI118!J","Invalid PAN"
"MKBHX8739S","Valid PAN"
"GADTS049!Y","Invalid PAN"
"CSZWL1245C","Valid PAN"
"BPNJM9288W","Invalid PAN"
"OZZXM8348K","Invalid PAN"
"FHAN77838V","Invalid PAN"
"XIGVK4749W","Valid PAN"
"AVGAJ1636M","Valid PAN"
"TLLVD6692F","Invalid PAN"
"BRPU16898T","Invalid PAN"
"OVGVK9357G","Valid PAN"
"RRVTA1776Y","Invalid PAN"
"YYABN1526A","Invalid PAN"
"RVLTX7609J","Valid PAN"
"QJWLO2613J","Valid PAN"
"TBLKY51175T","Invalid PAN"
"NHJJD8834K","Invalid PAN"
"UBUTA303!P","Invalid PAN"
"LGSMG4512H","Valid PAN"
"LPKED2038J","Valid PAN"
"PLJC58829S","Invalid PAN"
"SFYAH3938O","Valid PAN"
"FIEYD7801O","Valid PAN"
"GGHTI0249R","Invalid PAN"
"UBS5344","Invalid PAN"
"AXDJS7763Q","Invalid PAN"
"FMOMD8916P","Valid PAN"
"FZVBR3405D","Valid PAN"
"QZNCS324!H","Invalid PAN"
"ZEUYR9029X","Valid PAN"
"TSSYM015!R","Invalid PAN"
"SMJRH0202Z","Valid PAN"
"YWEPO7890K","Valid PAN"
"ZIRCH80976D","Invalid PAN"
"ELFB47851Z","Invalid PAN"
"FKVYS9523D","Valid PAN"
"YUB0864","Invalid PAN"
"BMBVQ17169W","Invalid PAN"
"HCFVM64718X","Invalid PAN"
"ZLPYF05584R","Invalid PAN"
"NVBMD2274X","Invalid PAN"
"MFJBD813!E","Invalid PAN"
"BGKKU6117W","Invalid PAN"
"TRZRD30709M","Invalid PAN"
"WPEP70042Y","Invalid PAN"
"CBQNM7023W","Valid PAN"
"CUNMH0294U","Valid PAN"
"WYG6542","Invalid PAN"
"XJLAO72483V","Invalid PAN"
"EENCL9783S","Invalid PAN"
"WNOPA0928Q","Valid PAN"
"EYYMX614!P","Invalid PAN"
"SGPKS5239D","Valid PAN"
"ALRUV88333W","Invalid PAN"
"WUSD30507B","Invalid PAN"
"BKI5667","Invalid PAN"
"GCWOR4993Q","Invalid PAN"
"YAIAO2056R","Valid PAN"
"ZVUNL67448J","Invalid PAN"
"ETIXZ341!W","Invalid PAN"
"ORBPA9802F","Valid PAN"
"KWQYM626!X","Invalid PAN"
"SCKMI2381O","Valid PAN"
"AXATY2477O","Invalid PAN"
"RXWHY598!E","Invalid PAN"
"NQOWB8014V","Valid PAN"
"LKEGV12009P","Invalid PAN"
"KAFYU809!I","Invalid PAN"
"QHMMS8084K","Invalid PAN"
"GASLY0551A","Invalid PAN"
"CMOKV8529Q","Valid PAN"
"WSRES2051V","Valid PAN"
"TGUOV5454L","Valid PAN"
"TNAUP094!X","Invalid PAN"
"WTKA21168I","Invalid PAN"
"STKAZ762!U","Invalid PAN"
"WME6110","Invalid PAN"
"IJSFU2120Z","Valid PAN"
"ECLUS1830O","Valid PAN"
"PSNWT7892A","Valid PAN"
"VLLME7316O","Invalid PAN"
"DTPOA3783N","Valid PAN"
"RRDKE2859Z","Invalid PAN"
"HCURD12503C","Invalid PAN"
"RLNMT0603U","Valid PAN"
"EYVXA3608O","Valid PAN"
"VVMPD72592L","Invalid PAN"
"OWOAS9586S","Valid PAN"
"WLXGL2460G","Valid PAN"
"EBKUD1211J","Invalid PAN"
"TCQZY91131B","Invalid PAN"
"ZNPPJ774!N","Invalid PAN"
"BYWLX10926M","Invalid PAN"
"BVPEK1499R","Invalid PAN"
"RVALP2492R","Valid PAN"
"NYCNK6786S","Valid PAN"
"IGOPT6061B","Valid PAN"
"XXHDL4836M","Invalid PAN"
"SCAGY4164I","Valid PAN"
"FOBVC5114H","Invalid PAN"
"RUBQN3524U","Valid PAN"
"PREHK780!B","Invalid PAN"
"QGTQ93601Z","Invalid PAN"
"RBRAJ3984T","Valid PAN"
"KGMJR403!S","Invalid PAN"
"FPJOF3984R","Valid PAN"
"WPEII9262O","Invalid PAN"
"PAMSB2369G","Valid PAN"
"OTZFC6706J","Valid PAN"
"IMKNM8142B","Valid PAN"
"NYRXF6505Y","Valid PAN"
"GOCUY2738D","Valid PAN"
"SJFOD4814P","Valid PAN"
"ZZKZO1363X","Invalid PAN"
"MFZIH0783U","Valid PAN"
"WTQWN6789Z","Invalid PAN"
"FUMPX888!B","Invalid PAN"
"YXF1899","Invalid PAN"
"UXU5986","Invalid PAN"
"WMCUJ562!Z","Invalid PAN"
"QPLQS21142B","Invalid PAN"
"XVOYF5036Z","Valid PAN"
"EHA2434","Invalid PAN"
"VZPYR472!K","Invalid PAN"
"CJXIH99734G","Invalid PAN"
"LLT7743","Invalid PAN"
"QHFD93766Z","Invalid PAN"
"JLMHE0678I","Valid PAN"
"MPZAJ809!A","Invalid PAN"
"XVYLV36567Z","Invalid PAN"
"RMTZC909!W","Invalid PAN"
"UFDJ98670P","Invalid PAN"
"PKOLZ34504G","Invalid PAN"
"JJUF52033D","Invalid PAN"
"CTCHW1661E","Invalid PAN"
"OVYJK66230M","Invalid PAN"
"EHIQJ549!F","Invalid PAN"
"RWB9747","Invalid PAN"
"ITVJM77421C","Invalid PAN"
"SAGHB7260J","Valid PAN"
"TVMCE6362G","Valid PAN"
"SCVGL8992K","Invalid PAN"
"OUUKJ3685B","Invalid PAN"
"LOLDL4315V","Valid PAN"
"QUVOP6893I","Valid PAN"
"YWJPD8335H","Invalid PAN"
"VHDZA0193K","Valid PAN"
"UEKHZ2660Z","Invalid PAN"
"YCKHK6451M","Valid PAN"
"PLMD80439E","Invalid PAN"
"FFAFZ1145G","Invalid PAN"
"IAQFV8206V","Valid PAN"
"TBGWU4370Z","Valid PAN"
"UEDTA6361D","Valid PAN"
"OLYGJ6672T","Invalid PAN"
"JKEBI5601C","Valid PAN"
"MQZFN355!X","Invalid PAN"
"NXPIT0723X","Valid PAN"
"TSK1815","Invalid PAN"
"OGWIA32166V","Invalid PAN"
"NYZSV85486T","Invalid PAN"
"DOGDE3532P","Valid PAN"
"RIND24297T","Invalid PAN"
"XKQLL571!P","Invalid PAN"
"RKKBW4786F","Invalid PAN"
"KBMCF3119U","Invalid PAN"
"RYEXK938!C","Invalid PAN"
"OBXYR5654A","Valid PAN"
"RLEZB3844E","Invalid PAN"
"TFOOM3404D","Invalid PAN"
"WOESO3919T","Valid PAN"
"ATFZU7225Y","Invalid PAN"
"EOQKV6547C","Valid PAN"
"LPMZS1451M","Valid PAN"
"RZQUF1683S","Valid PAN"
"SDKPN9474Z","Valid PAN"
"ATACM5020W","Valid PAN"
"REFWZ65708W","Invalid PAN"
"PAACQ8777V","Invalid PAN"
"XXJLD65324N","Invalid PAN"
"NVNAD2315J","Valid PAN"
"KSLRD3606J","Valid PAN"
"VGHZG5988D","Invalid PAN"
"YKSGO1320L","Valid PAN"
"JOPLS7512E","Valid PAN"
"LOGYY7932K","Invalid PAN"
"LYDT83918R","Invalid PAN"
"OCAAT7003L","Invalid PAN"
"PXMSY1442L","Invalid PAN"
"QQYWX9300X","Invalid PAN"
"STDZS6550Q","Invalid PAN"
"PZTGW9407I","Valid PAN"
"ZPKB77138E","Invalid PAN"
"ZLOUS47821Z","Invalid PAN"
"SKOIS7640Q","Valid PAN"
"EKFKQ04230Q","Invalid PAN"
"JZCEC5741E","Valid PAN"
"PUH6193","Invalid PAN"
"MVJWQ3934Y","Valid PAN"
"PGUP10240V","Invalid PAN"
"JMRRQ3871P","Invalid PAN"
"NDNUY1809H","Valid PAN"
"DSQYL5603A","Valid PAN"
"HUYJU63801E","Invalid PAN"
"ALN3741","Invalid PAN"
"YBTA96974Y","Invalid PAN"
"FEEP33914R","Invalid PAN"
"KJRB52852W","Invalid PAN"
"UYTZJ5835I","Valid PAN"
"BDTCB3028O","Valid PAN"
"UNDAU1721A","Valid PAN"
"CEZVD746!G","Invalid PAN"
"ZWLPF65157L","Invalid PAN"
"ZIBAD5339A","Invalid PAN"
"VDXUV4525M","Valid PAN"
"VTKQP5955O","Invalid PAN"
"MFHKK356!E","Invalid PAN"
"QMCNN02545Q","Invalid PAN"
"ALQZH8406J","Valid PAN"
"ZYMAZ2820W","Valid PAN"
"RLIUC9262A","Valid PAN"
"JUKTE1692W","Valid PAN"
"VUBRW95101B","Invalid PAN"
"YMKWB202!O","Invalid PAN"
"YOLPX6470X","Valid PAN"
"UNUM47653D","Invalid PAN"
"YOCAH07130T","Invalid PAN"
"RDFYT2324D","Valid PAN"
"CKQ3803","Invalid PAN"
"JIZIR1271Y","Valid PAN"
"HINN24533V","Invalid PAN"
"TRDSM2257N","Invalid PAN"
"WBWDW4655T","Invalid PAN"
"ZCYVP7139D","Valid PAN"
"PAGXX3642L","Invalid PAN"
"XJYRB3261Z","Valid PAN"
"HYBJW2262I","Invalid PAN"
"DTD6830","Invalid PAN"
"CMNRC3572E","Valid PAN"
"YBM5300","Invalid PAN"
"TDZMH1773M","Invalid PAN"
"DPPAS68945S","Invalid PAN"
"SIZLK7523J","Valid PAN"
"QYFUI4851P","Valid PAN"
"KTDVG9214O","Valid PAN"
"QGDPW152!T","Invalid PAN"
"CXPGS3342C","Invalid PAN"
"GFEOL8277O","Invalid PAN"
"TQELC575!W","Invalid PAN"
"UOOYD96848D","Invalid PAN"
"MHYOO2516Q","Invalid PAN"
"URXIG8752G","Valid PAN"
"GCMRN6253D","Valid PAN"
"MJDX79632W","Invalid PAN"
"SQRM53528G","Invalid PAN"
"HAYQB80663C","Invalid PAN"
"ZSTUM415!T","Invalid PAN"
"YBRKI6133L","Invalid PAN"
"PGBM92829L","Invalid PAN"
"GFUZZ4186P","Invalid PAN"
"BAFKC1026Q","Valid PAN"
"UHVTO37879N","Invalid PAN"
"AMIMO8518J","Valid PAN"
"JFYRU6884W","Invalid PAN"
"AXYLC12753V","Invalid PAN"
"ZMNRC2960E","Valid PAN"
"LEO2040","Invalid PAN"
"LFVJQ652!R","Invalid PAN"
